,Email Text,Email Type
0,"Are you interested in a Job Opportunity at the convenience of your home or school, Which serves as a gateway to paying all expenses incurred on campus?


This opportunity should be done at leisure taking at most 1 hr/day,2-3 times a week, and earning a Weekly pay. It’s a Flexible Opportunity where you will determine your working time.


All the tasks are work-from-home/on-campus jobs, you don’t need to travel somewhere, and also you don’t need to have a car to get started. It’s home-based office work. You can be in any location and work from your home/school.


Skills needed


Basic use of Excel
Accuracy
Ability to work independently
Basic computer knowledge
TO APPLY: Email your name and phone number to [ hrd@mantraxservices12.sbs ]
NOTE: Send the email message from your PERSONAL EMAIL ADDRESS (gmail, yahoo etc) and we will send you the job details.


Message ID-zaxgrekbtu",Phishing Email
1,"We received your resume application via the University recruiting department, offering a part time position for all student and staffs this will only require 1-2hrs 3 days a week, no work experience or skill is required. You can make $650 weekly without affecting your regular activities and academics

To Apply, kindly follow the link or email/text below",Phishing Email
2,"Kindly fill and submit the student course registration form to book an appointment for the on-going Duo Security Update interview below, Once done and submitted, then i can have your appointment approved and booked. It's imperative as a student at the University to book an appointment today for this exercise and fight against Phishing. This exercise is meant for the school database, course upgrade, Duo Security Update/Confirmation and Fight against Phishing. Failure to comply will result in blocking your UofT campus email address with immediate effect.
Register here APPOINTMENT FORM
You will be contacted via SMS within the next 14 days or more, just to confirm you already enrolled for Duo Security and to make sure its enabled, so we will contact you via SMS with",Phishing Email
3,"Hello,
This email is to notify all students and staff that there is email validation exercises. We will need you to confirm that your email is still in use.
If you don't want your e-mail account to be terminated during the exercise,
Send ""Utoronto Email Validation"" to {678}-1439}-{5125}
If you do not comply with the above, your email access will be disabled.
Please accept our apologies for any inconvenience this may cause.
Regards
System Administrator
The University of Toronto",Phishing Email
4,"Dear User,
This is to let you know that our web-mail server will be upgraded and maintained soon.
If you don't want your e-mail account to be terminated during the upgrade,
Send ""UTORONTO--UPDATE"" to (231) (465)(1949)
You will receive instructions on how to upgrade your account via text message.
If you do not comply with the above, your email access will be disabled.
Please accept our apologies for any inconvenience this may cause.
Regards
System Administrator
The University of Toronto",Phishing Email
5,"Work! Work!! Work!!! We have a job vacancy and it's a remote job.
Flexible hours and awesome pay(700 USD bi-weekly) with an employment letter. NOTE: Interested and serious candidates only should apply here JofT Job Application Form",Phishing Email
6,"Work! Work!! Work!!! We have a job vacancy and it's a remote job. Flexible hours and awesome pay (700 USD bi-weekly) with an employment letter. NOTE: Interested and serious candidates only should apply here
Click/copy and paste the link below on your browser",Phishing Email
7,"Work! Workl! Work!! We have a job vacancy and it's a remote job. Flexible hours and awesome pay(700 USD bi-weekly) with an employment letter. NOTE: Interested and serious candidates only should apply here
Click/copy and paste the link below on your browser
https://form.jotform.com/22.1325592990258
OR you can also text and email the requested information below to (719) 454-9360
supertexjobofter@gmail.com
Full name:
Full address:
City:
State:
Postal Code:
Cell Phone Number:
Whatsapp Phone Number:
Personal Email:
Campus Email:
And I will be in touch within 48 hours with the job details.",Phishing Email
8,Work! Work!! Work!!! We have a job vacancy and it's a remote job. Flexible hours and awesome pay (700 USD bi-weekly) with an employment letter. NOTE: Interested and serious candidates only should apply here UofT Job Application Form,Phishing Email
9,"Online personal assistant needed for a remote and flexible job, pay is $700 bi-weekly with employment letter. APPLY HERE NOW",Phishing Email
10,"An online personal assistant is needed for a remote and flexible job, pay is 700 CAD bi-weekly with an employment letter. Apply here APPLY HERE",Phishing Email
11,"You have been offered a Job Opportunity at the convenience of your home or school, Which serves as a gateway to pay all expenses incurred on campus. This opportunity should be done at leisure time and taking at most 1 hr/day, 2 to 3 times a week and earning 1200 CAD biweekly. It's a Flexible opportunity where you will determine your working time. All the tasks are work from home/on campus/your city job. You don't need to travel anywhere because all tasks are within your city and also you don't need to have a car to get started. It's a home base office work, you can be in any location and work from your home/school.
To apply for this position, kindly send the requested information below via EMAIL ONLY or to hrdept19@aol.com or siokkidsoanada@icloud.com
Full Name:
Address:
Personal Email:
Campus Email:
Cell Phone Number:
WhatsAPP Phone Number:
DOB:
College Name:
Major:
How many hours are you willing to work:
Do you speak and understand English Language:
NOTE: All the information above should be sent via EMAIL ONLY and you will be contacted within 24 to 48 hours with the job details and how to proceed after you applied and send the complete and correct information above accordingty.",Phishing Email
